addresses,hw_vendor,id,last_seen,names,os,os_version,sources
10.0.10.6,Axis,06390665-6385-4f38-8c22-4403fb6e5070,1763100776,RZBACNET-IP-CAMERA-106,Microsoft Windows CE,,runZero
10.0.6.47,Axis,0c62ef30-67cb-46e0-8835-d35bfed8c56d,1763100786,RZHQ-IP-CAMERA-647,Microsoft Windows CE,,runZero
10.0.18.39,Axis,0d03146a-af37-40f4-9382-16ce866ad633,1763100787,RZDC-IP-CAMERA-1839,Microsoft Windows CE,,runZero
10.0.4.27,Axis,15e2f08b-47a1-4b25-9937-7e80db9030b2,1763100783,RZHQ-IP-CAMERA-427,Microsoft Windows CE,,runZero
10.0.8.36,Axis,15fcf875-49e9-406c-81e4-4900ee94ff90,1763100788,RZHQ-IP-CAMERA-836,Microsoft Windows CE,,runZero
10.0.12.19,Reolink,1c40cf47-cc25-4cec-a7fc-059ddebab7a0,1763100779,RZDC-IP-CAMERA-1219,Ubiquiti Linux,,runZero
10.0.18.50,Axis,1d134917-a150-43ce-8b4d-73885989d5fb,1763100787,RZDC-IP-CAMERA-1850,Microsoft Windows CE,,runZero
10.0.1.42,Reolink,25904593-ff6d-4e3a-b574-aa56c42f900d,1763100779,RZHQ-CAMERA-142,Ubiquiti Linux,,"Nessus, runZero"
10.0.1.47,Axis,2217ef11-fbff-4a35-9c90-269e9441c3a0,1763100779,RZHQ-IP-CAMERA-147,Microsoft Windows CE,,runZero
10.0.8.33,Reolink,27b01fd3-b171-44bb-ab2f-1c43efc46598,1763100788,RZHQ-IP-CAMERA-833,Ubiquiti Linux,,runZero
10.0.3.31,Reolink,327a4e0c-22bd-4348-8dfc-48255b4b985f,1763100782,RZHQ-IP-CAMERA-331,Ubiquiti Linux,,runZero
10.0.6.19,Axis,344bd802-f4c3-4fab-95bb-a5f901bfc782,1763100785,RZHQ-IP-CAMERA-619,Microsoft Windows CE,,runZero
10.0.12.10,Reolink,3609cc4d-c211-496e-af8e-a8a1ba7bf2be,1763100778,RZDC-IP-CAMERA-1210,Ubiquiti Linux,,runZero
10.0.3.9,Reolink,389c0d57-57a7-4dae-a3a7-76071d4b09c3,1763100781,RZHQ-IP-CAMERA-39,Ubiquiti Linux,,runZero
10.0.20.36,Axis,3fffb510-1d0a-4116-ad41-219ba9285a96,1763100777,RZBACNET-IP-CAMERA-2036,Microsoft Windows CE,,runZero
10.0.0.49,Axis,4706e16e-b0fe-4de2-92b4-e0829d98d18b,1763100778,RZHQ-CAMERA-049,Microsoft Windows CE,,"Nessus, runZero"
10.0.1.35,Reolink,40727a69-d036-4a1e-a563-196aec85979c,1763100779,RZHQ-CAMERA-135,Ubiquiti Linux,,"Nessus, runZero"
