addresses,hw_vendor,id,last_seen,names,os,os_version,sources
10.0.10.6,Axis,06390665-6385-4f38-8c22-4403fb6e5070,1759385528,RZBACNET-IP-CAMERA-106,Microsoft Windows CE,,runZero
10.0.12.28,IBM,037ac5d7-95d0-4eb3-acab-8e4f0c96ada1,1759385531,RZDC-SERVER-1228,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.17.40,,02475343-18e7-4274-9ebd-125e9c54d812,1759385537,"RZDC-SERVER-1740, RZDC-SERVER-1740.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,runZero
10.0.20.45,Dell,01845493-75a2-4c86-b239-cd7165704804,1759385529,RZBACNET-SERVER-2045,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
198.51.27.7,Dell,035f2b77-8118-4712-8037-964cd4049688,1759385530,RZDMZ-SERVER-277,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.1.8,SUSE,0edf054d-3094-46b8-9abc-c313f44b38ed,1759385531,RZHQ-SERVER-18,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.1.32,Dell,0a07658e-c709-4a86-b2ee-878bdab6513c,1759385531,RZHQ-SERVER-132,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.6.47,Axis,0c62ef30-67cb-46e0-8835-d35bfed8c56d,1759385537,RZHQ-IP-CAMERA-647,Microsoft Windows CE,,runZero
10.0.12.34,Microsoft,0fcf7fdd-98a0-4c8c-b265-a0898d6deb51,1759385531,"RZDC-SERVER-1234, RZDC-SERVER-1234.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.16.39,Microsoft,0b946900-1b8a-407e-ad5b-816f21ef6925,1759385536,"RZDC-SERVER-1639, RZDC-SERVER-1639.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.18.17,SUSE,0d497ced-8b5e-4209-b347-4f24f28eae55,1759385539,RZDC-SERVER-1817,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.18.39,Axis,0d03146a-af37-40f4-9382-16ce866ad633,1759385538,RZDC-IP-CAMERA-1839,Microsoft Windows CE,,runZero
10.0.19.6,Apple,0e767760-f03a-46f6-94d3-c2488a54bacd,1759385619,"RZDC-MOBILE-196.LAN, RZDC-MOBILE-196",Apple iOS,15.2,"AzureAD, Custom, Nessus, runZero"
10.0.19.29,HP,0e60ce97-ff67-48a1-9ac2-dd8f8beee095,1759385540,RZDC-SERVER-1929,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
"23.20.0.10, 172.31.0.10, fde9:727a:6b7a:797c:8298:dd22:21c:5c2c",AWS,0bff6663-455b-42a2-ae65-03e74a1bcf38,1759385558,"RZCLOUD-SERVER-010.RUNZERO.LOCAL, RZCLOUD-SERVER-010, RZCLOUD-SERVER-010.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-010.COMPUTE.INTERNAL",Microsoft Windows Server 2016 (RTM),10.0.14393,"AWS, runZero"
"23.20.1.49, 172.31.1.49, fde9:727a:8228:807c:4173:76f5:4435:6bb",AWS,0c322f52-5d6d-4401-b39f-643f22c6414a,1759385646,"RZCLOUD-SERVER-149, RZCLOUD-SERVER-149.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-149.COMPUTE.INTERNAL, RZCLOUD-SERVER-149.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,16.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
198.51.25.47,Microsoft,0eb34cf5-7fcf-442c-9137-f1e315209802,1759385529,"RZDMZ-SERVER-2547, RZDMZ-SERVER-2547.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.26.16,Microsoft,0d2ee4f4-c8f1-4459-b970-4b52aa2e48db,1759385530,"RZDMZ-SERVER-2616, RZDMZ-SERVER-2616.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.26.31,Microsoft,0c670dbc-1c41-4085-b967-9c2fb6d79407,1759385530,"RZDMZ-SERVER-2631, RZDMZ-SERVER-2631.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.27.49,HP,0aa06cd4-1854-42bc-abb5-42bceff4856d,1759385532,RZDMZ-SERVER-2749,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.29.26,Microsoft,09283c14-1f93-4bdb-876a-c4223df88adf,1759385534,"RZDMZ-SERVER-2926, RZDMZ-SERVER-2926.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.29.42,Microsoft,0c758bed-8086-4d4a-a8d5-d050cc57468f,1759385534,"RZDMZ-SERVER-2942, RZDMZ-SERVER-2942.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.3.17,Microsoft,111ad89d-b7c9-45f8-a40a-357c7ea66c04,1759385533,"RZHQ-SERVER-317, RZHQ-SERVER-317.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,"AzureAD, Nessus, runZero"
10.0.4.27,Axis,15e2f08b-47a1-4b25-9937-7e80db9030b2,1759385534,RZHQ-IP-CAMERA-427,Microsoft Windows CE,,runZero
10.0.5.43,Microsoft,11deeae6-7b81-4d17-ba47-95fbf64d1a2b,1759385536,"RZHQ-SERVER-543, RZHQ-SERVER-543.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.8.36,Axis,15fcf875-49e9-406c-81e4-4900ee94ff90,1759385540,RZHQ-IP-CAMERA-836,Microsoft Windows CE,,runZero
10.0.14.36,Dell,10582fec-f73f-47b4-8d9e-c7c88fcce784,1759385533,RZDC-SERVER-1436,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
"23.20.0.4, 172.31.0.4, fde9:727a:a124:e645:cb78:4fe6:bf8c:c76f",AWS,17a3fdbf-de57-46ba-b7e1-fe74deb12eaa,1759385644,"RZCLOUD-SERVER-04, RZCLOUD-SERVER-04.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-04.COMPUTE.INTERNAL, RZCLOUD-SERVER-04.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,20.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.0.26, 172.31.0.26, fde9:727a:a4e6:176:2f8d:e9ef:f0b:bffc",AWS,100b2bfe-de9a-40d4-b89b-c3d688d4ad37,1759385645,"RZCLOUD-SERVER-026, RZCLOUD-SERVER-026.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-026.COMPUTE.INTERNAL, RZCLOUD-SERVER-026.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,20.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
"23.20.2.12, 172.31.2.12, fde9:727a:2a02:35f2:f081:998e:4728:3f09",AWS,10664a0d-e0c4-4d87-807a-ded594a1325b,1759385645,"RZCLOUD-SERVER-212, RZCLOUD-SERVER-212.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-212.COMPUTE.INTERNAL, RZCLOUD-SERVER-212.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,16.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
198.51.25.28,Microsoft,162625de-c66b-43fb-aa58-f8cddbfc2c73,1759385529,"RZDMZ-SERVER-2528, RZDMZ-SERVER-2528.CORP.RUNZERO.COM",Microsoft Windows Server 2019,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.28.39,Microsoft,135dcbb0-3bc8-4754-8237-62dbf9470fc5,1759385533,"RZDMZ-SERVER-2839, RZDMZ-SERVER-2839.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
198.51.29.23,SUSE,141fabe8-6933-49c2-9c17-95a8ffa0d45b,1759385534,RZDMZ-SERVER-2923,Ubuntu Linux,16.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.2.18,SUSE,1ecb8997-fd40-419f-9874-e8d212f0668b,1759385531,RZHQ-SERVER-218,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.4.8,Microsoft,1b1be8fa-f4bc-4cdc-a733-344cb750a425,1759385535,"RZHQ-SERVER-48, RZHQ-SERVER-48.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.6.37,Microsoft,1e5c5f2f-b04c-4e38-a78d-772c919b129e,1759385537,"RZHQ-SERVER-637, RZHQ-SERVER-637.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.6.39,Microsoft,1dea99ee-9740-4a23-a120-01e57c98954c,1759385537,"RZHQ-SERVER-639, RZHQ-SERVER-639.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.8.20,Microsoft,1e3ff9ff-4e56-473f-bfa3-ed8e97a128a2,1759385541,"RZHQ-SERVER-820, RZHQ-SERVER-820.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
"10.0.9.43, 10.0.10.49, 10.0.11.46, 10.0.19.18",SUSE,1d8c35a6-2b26-4a7f-8584-a7d470122388,1759385620,"N50LON.NQG, RZBACNET-SERVER-1049, CQKOL, RZHQ-SERVER-943",Debian Linux,9,"AzureAD, Nessus, runZero"
10.0.10.39,,1f579369-4c1d-4a21-be0c-bf99bf858556,1759385529,"RZBACNET-SERVER-1039, RZBACNET-SERVER-1039.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,runZero
10.0.12.9,Microsoft,1cc85f38-17f6-45de-a872-ee65aa5f00bd,1759385531,"RZDC-SERVER-129, RZDC-SERVER-129.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.15.9,IBM,1ce010f5-387a-4dd9-a644-551c130c3d58,1759385535,"RZDC-SERVER-159, CQKOL, N50LON.NQG",Debian Linux,9,"AzureAD, Nessus, runZero"
10.0.16.27,Microsoft,1b2a4e39-271b-4278-b037-7aabc6b9b1d4,1759385536,"RZDC-SERVER-1627, RZDC-SERVER-1627.RUNZERO.LOCAL",Microsoft Windows Server 2016,,"AzureAD, CrowdStrike, Nessus, Qualys, runZero"
10.0.18.50,Axis,1d134917-a150-43ce-8b4d-73885989d5fb,1759385539,RZDC-IP-CAMERA-1850,Microsoft Windows CE,,runZero
10.0.19.5,IBM,1f86c1bf-399f-45f4-b14e-70cda16adc64,1759385540,RZDC-SERVER-195,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
198.51.25.25,Dell,1c194d25-26da-4789-821e-4b8be105ab1b,1759385529,RZDMZ-SERVER-2525,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.25.27,SUSE,1faba3b6-fa00-48e9-9b7f-2391651ba86c,1759385529,RZDMZ-SERVER-2527,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.26.28,Dell,1f5861f6-c498-47e7-bf13-1b3944da4ee6,1759385530,RZDMZ-SERVER-2628,Ubuntu Linux,16.04,"AzureAD, CrowdStrike, Nessus, runZero"
198.51.26.47,Dell,199f7f17-74ee-4c78-aa18-4d8003deafa3,1759385530,RZDMZ-SERVER-2647,Ubuntu Linux,16.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.0.15,Apple,2069013d-d206-487e-a34b-ab62b233e4fc,1759385618,"RZHQ-MOBILE-015.LAN, RZHQ-MOBILE-015",Apple iOS,15.2,"AzureAD, Custom, Nessus, runZero"
10.0.1.47,Axis,2217ef11-fbff-4a35-9c90-269e9441c3a0,1759385531,RZHQ-IP-CAMERA-147,Microsoft Windows CE,,runZero
10.0.4.30,Microsoft,2529cb3e-c1ba-4be9-9377-1f7f9b942a81,1759385535,"RZHQ-SERVER-430, RZHQ-SERVER-430.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,"AzureAD, Nessus, runZero"
10.0.4.43,SUSE,22da919a-3bbc-4333-807b-7ef2ffdd973e,1759385535,RZHQ-SERVER-443,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.6.22,Apple,2153c51e-01b5-4d63-906e-dd398a8537ea,1759385619,"RZHQ-MOBILE-622.LAN, RZHQ-MOBILE-622",Apple iOS,15.2,"AzureAD, Custom, Nessus, runZero"
10.0.8.27,Dell,25a2a27a-2c39-403a-b656-1870ff722650,1759385541,RZHQ-SERVER-827,Ubuntu Linux,16.04,"AzureAD, Nessus, runZero"
10.0.14.6,Microsoft,25c5206b-f9f8-4d3c-838e-d33da799117f,1759385533,"RZDC-SERVER-146, RZDC-SERVER-146.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,"AzureAD, Nessus, runZero"
10.0.14.47,,2379a83b-082f-45e4-8cae-2910708e19b8,1759385534,"RZDC-SERVER-1447, RZDC-SERVER-1447.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,runZero
"23.20.1.9, 172.31.1.9, fde9:727a:31f3:8976:d0ec:d8d4:8e46:4a0f",AWS,277632e7-9d61-490f-9ec0-7d5006b7e2cd,1759385645,"RZCLOUD-SERVER-19, RZCLOUD-SERVER-19.COMPUTE.AMAZONAWS.COM, RZCLOUD-SERVER-19.COMPUTE.INTERNAL, RZCLOUD-SERVER-19.US-EAST-2.COMPUTE.AMAZONAWS.COM",Ubuntu Linux,16.04,"AWS, CrowdStrike, Nessus, Wiz, runZero"
198.51.26.27,,24991caf-9215-4096-82e1-14acd8e77451,1759385530,RZDMZ-SERVER-2627,Ubuntu Linux,16.04,runZero
10.0.4.40,Apple,29daeda9-0556-4ef1-8e39-ccb72b53aa2f,1759385620,"RZHQ-MOBILE-440.LAN, RZHQ-MOBILE-440",Apple iOS,15.2,"AzureAD, Custom, Nessus, runZero"
