addresses,hw_vendor,id,last_seen,names,os,os_version,sources
10.0.0.2,,061786a4-4ce3-4f67-9dfd-581bfbbb1633,1759385528,RZHQ-FIREWALL-02,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.11.2,,063e78d2-1965-4f06-8dd7-86d742a25486,1759385528,RZDC-FIREWALL-112,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.6.2,,2e4b6d27-cb5a-41a4-9942-18f47ee71a4b,1759385536,RZHQ-FIREWALL-62,Linux,,runZero
10.0.14.2,,46407807-e602-46ab-a55b-28697ac9b898,1759385532,RZDC-FIREWALL-142,Linux,,runZero
10.0.8.2,,5c3ba451-0896-49b0-af39-97d37d72dfd6,1759385539,RZHQ-FIREWALL-82,Linux,,runZero
10.0.15.2,,68fcdfb2-8af6-4f3b-bf4b-0fc7290ba27c,1759385534,RZDC-FIREWALL-152,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.1.2,,7efe5c08-a99a-46e8-9d60-5594f12aff5d,1759385529,RZHQ-FIREWALL-12,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.16.2,,8846d745-8819-4f9f-aad4-fd5f43d3dae3,1759385535,RZDC-FIREWALL-162,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.2.2,,964d5512-088b-4b8b-93ff-78425b6a43b1,1759385531,RZHQ-FIREWALL-22,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.18.2,,963c4a68-2e91-44e9-8fd9-19fa270bf64e,1759385537,RZDC-FIREWALL-182,Linux,,runZero
10.0.7.2,,9bbe6dc2-b0b0-46c1-8177-fc2775547f8d,1759385537,RZHQ-FIREWALL-72,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.3.2,,a8f2791b-992e-480c-81bb-99893e3a9ef0,1759385532,RZHQ-FIREWALL-32,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.5.2,,b999b441-69ec-4e41-959a-35d3030a1c92,1759385535,RZHQ-FIREWALL-52,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.19.2,,d39ed47c-b59d-4fbf-91df-a273f78dbca6,1759385539,RZDC-FIREWALL-192,Linux,5.4.0-122-generic,"Nessus, runZero"
10.0.13.2,,ec8d5d8a-aee1-4ace-ab9a-0975df44305f,1759385531,RZDC-FIREWALL-132,Linux,5.4.0-122-generic,"Nessus, runZero"
