addresses,hw_vendor,id,last_seen,names,os,os_version,sources
,HP,013f4e21-9c59-47a8-ad34-020f28ef4a31,1763090750,RZHQ-SERVER-013,,,AzureAD
10.0.1.24,,02c56805-d8ee-4fca-a8f0-816927a0e240,1763100779,RZHQ-SERVER-124,CentOS Linux,,runZero
10.0.3.12,VMware,042bdec4-de47-45c5-8dfe-f4e2e75fd9ad,1763100782,"RZHQ-SERVER-312.LOCALDOMAIN, RZHQ-SERVER-312",Ubuntu Linux,,"AzureAD, Nessus, runZero"
10.0.5.37,IBM,07cb9545-e524-4dee-b76b-6a2825502477,1763100784,RZHQ-SERVER-537,,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.9.44,Dell,072c6baf-f1d8-4b30-b5b6-69448667282d,1763100790,RZHQ-SERVER-944,Ubuntu Linux,22.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.12.28,IBM,037ac5d7-95d0-4eb3-acab-8e4f0c96ada1,1763100780,RZDC-SERVER-1228,Ubuntu Linux,20.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.12.45,SUSE,001852cc-da1e-4f5e-936c-b215344589aa,1763100780,RZDC-SERVER-1245,CentOS Linux,,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.13.40,HP,04931329-d10f-495f-b507-e49eaf5137a4,1763100781,RZDC-SERVER-1340,CentOS Linux,,"AzureAD, Nessus, runZero"
10.0.14.18,VMware,01cb72ee-e0ec-4415-b5ac-1ba9928ee293,1763100782,"RZDC-SERVER-1418.LOCALDOMAIN, RZDC-SERVER-1418",Ubuntu Linux,,runZero
10.0.16.19,Proxmox,03f68dd6-59cd-4307-acb8-924712d8b3d9,1763100784,RZDC-SERVER-1619.LOCALDOMAIN,Debian Linux,12,"Nessus, runZero"
10.0.17.40,,02475343-18e7-4274-9ebd-125e9c54d812,1763100786,"RZDC-SERVER-1740, RZDC-SERVER-1740.CORP.RUNZERO.COM",Microsoft Windows Server 2019 (1809),10.0.17763,runZero
10.0.18.20,SUSE,0277cbd6-9212-4720-8ad8-39e48f8f1f12,1763100787,RZDC-SERVER-1820,Ubuntu Linux,22.04,"AzureAD, CrowdStrike, Nessus, runZero"
10.0.19.37,Dell,07e40b02-5344-4c6d-ae59-bd25b59564a1,1763100789,RZDC-SERVER-1937,CentOS Linux,,"AzureAD, Nessus, runZero"
