addresses,hw_vendor,id,last_seen,names,os,os_version,sources
10.0.3.42,Cisco,24da6b24-ba18-4e16-92b3-897e58355c98,1763100782,"RZHQ-SWITCH-342, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.8.42,Cisco,22cc076a-54d9-42d3-899e-62cb0ace9593,1763100790,RZHQ-SWITCH-842,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.10.44,Cisco,26d8fb6b-0d14-4142-b577-078b8d5586d1,1763100778,"RZBACNET-SWITCH-1044, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.6.14,HPE,2fd535fb-fa3b-4c0a-b676-dc150f2d8561,1763100786,RZHQ-SWITCH-614,HP J4905A,M.10.104,"Nessus, runZero"
10.0.7.49,Cisco,37e24362-c4b0-44e9-babd-7bb466ed8a73,1763100787,"RZHQ-SWITCH-749, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.8.21,Brocade,3056c1d4-1663-489d-8fec-b5bd027829ae,1763100790,RZHQ-SWITCH-821,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.11.35,Cisco,3705b882-029d-4687-82d5-3795fb4ad42f,1763100778,"RZDC-SWITCH-1135, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.19.42,Cisco,3186c767-0de2-42c4-90bf-11e9d48279b2,1763100790,RZDC-SWITCH-1942,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.7.14,Cisco,44ef8b1f-f29f-4c61-b59b-d800603207f0,1763100787,RZHQ-SWITCH-714,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.10.17,HPE,422552ec-fdb6-493b-aa7f-64be239120d8,1763100778,RZBACNET-SWITCH-1017,HP J4905A,M.10.104,"Nessus, runZero"
10.0.10.20,Brocade,49259cf3-4415-4a05-840f-1c01394d1299,1763100778,RZBACNET-SWITCH-1020,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.20.10,Cisco,4bbb1a6b-e299-41d4-9370-1cbf2cacfe7a,1763100778,RZBACNET-SWITCH-2010,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.14.7,Cisco,51282a21-299f-4696-a58a-fc3d15ca567e,1763100782,RZDC-SWITCH-147,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.18.35,Cisco,596065cf-259d-4773-963c-447deb0376ab,1763100787,"RZDC-SWITCH-1835, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.0.42,Cisco,6557a329-85bb-42c9-8f5c-d159d96471bb,1763100778,RZHQ-SWITCH-042,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.12.49,HPE,6f7692c1-8ed1-4896-8ebf-6f50ff396d1b,1763100780,RZDC-SWITCH-1249,HP J4905A,M.10.104,"Nessus, runZero"
10.0.5.7,Cisco,7a9e6f11-3f25-4ed7-9427-37774dfd414a,1763100784,"RZHQ-SWITCH-57, SWITCH",Cisco IOS,,"Nessus, runZero"
10.0.8.35,Brocade,7f69f1a8-ccfa-4706-bc12-6c7b60d74d97,1763100790,RZHQ-SWITCH-835,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.2.21,Cisco,84a452ae-fabd-400f-90d8-1c6d081e7faa,1763100780,RZHQ-SWITCH-221,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.5.14,Brocade,87836c2a-5f5a-4b8a-8a5b-0e19fa89962d,1763100784,RZHQ-SWITCH-514,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.17.42,HPE,849bc275-68d0-415c-a9fc-58733ea68c0d,1763100786,RZDC-SWITCH-1742,HP J4905A,M.10.104,"Nessus, runZero"
10.0.4.21,Brocade,8e1edd4a-b4b6-4406-b6ad-57a6882fba64,1763100783,RZHQ-SWITCH-421,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.11.7,Cisco,945da8eb-086d-4e03-8ff0-a009674a7382,1763100778,RZDC-SWITCH-117,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.10.4,Cisco,a10021bd-fdb9-47a3-b942-bdff5644df46,1763100778,"RZBACNET-SWITCH-104, SWITCH",Cisco IOS,,runZero
10.0.16.14,Cisco,a6d04ec7-dec8-4155-8592-e221cb35bf65,1763100784,RZDC-SWITCH-1614,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.4.42,HPE,b5d7018e-2fa1-4440-bdd1-bba76896c655,1763100783,RZHQ-SWITCH-442,HP J4905A,M.10.104,"Nessus, runZero"
10.0.10.28,HPE,b401868f-0d74-4621-a8d0-074c60a9fecf,1763100778,RZBACNET-SWITCH-1028,HP J4905A,M.10.104,"Nessus, runZero"
10.0.20.44,Brocade,b534374f-cf04-4369-8e4a-da87075c81e3,1763100778,RZBACNET-SWITCH-2044,Brocade Fabric OS,6.4.1a,runZero
10.0.4.14,Brocade,bad40dcf-30bc-4ca7-92c0-c0391292344c,1763100783,RZHQ-SWITCH-414,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
10.0.20.25,Cisco,c6c069bf-f3c6-4b1a-bb2c-aae376a0c48d,1763100778,RZBACNET-SWITCH-2025,Cisco IOS,12.2(55)SE11,"Nessus, runZero"
10.0.10.15,Cisco,cf47ab9b-c804-455e-b7fd-8c44ccbf8e57,1763100778,RZBACNET-SWITCH-1015,Cisco IOS,12.2(55)SE11,runZero
10.0.10.27,Brocade,d090205c-c87e-440c-8d79-34b3a1402a13,1763100778,RZBACNET-SWITCH-1027,Brocade Fabric OS,6.4.1a,"Nessus, runZero"
