id,addresses,addresses_extra,names,risks,risk_count
edec72a3-c241-4c62-bff8-e5808f1227ae,['165.197.66.41'],[],"['DOPAU.PEPSICO.COM', 'DOPAPAC-API.PEPSICO.COM', 'ADMIN.DOPAPAC.PEPSICO.COM', 'API-SUK.DOPAPAC.PEPSICO.COM', 'API.DOPAPAC.PEPSICO.COM', 'COPCN.PEPSICO.COM', 'DOPAPAC.PEPSICO.COM', 'DOPNZ.PEPSICO.COM', 'WWW.DOPAPAC-API.PEPSICO.COM', 'WWW.DOPAPAC.PEPSICO.COM', 'WWW.DOPAU.PEPSICO.COM', 'WWW.DOPNZ.PEPSICO.COM']",['Authenticated Web Services'],1
7e98da26-da8c-43a8-be7c-857c60bc2260,['40.67.219.162'],[],"['TRANSLATION.PEPSICO.COM', 'EU.WORDBEE-TRANSLATOR.COM', 'WWW.TRANSLATION.PEPSICO.COM']","['Authenticated Web Services', 'Services with Expired TLS Certificates', 'Services with Soon to Expire TLS Certificates']",3
5bc9cca5-4f04-49e2-8ff7-9dd3d71edd16,['148.177.146.41'],[],"['MDD2ISEUQ.JNJ.COM', 'CNS2ISEUQ.JNJ.COM', 'CNSISEUQ.JNJ.COM', 'EMEDSISEUQ.JNJ.COM', 'MBOXISEUQ.JNJ.COM', 'MDDISEUQ.JNJ.COM', 'PHM2ISEUQ.JNJ.COM', 'PHMISEUQ.JNJ.COM', 'WEBMGSEUQA.JNJ.COM', 'WISEISEUQ.JNJ.COM']",['Authenticated Web Services'],1
6abce90e-1e7e-429d-a6b2-ac83f3189329,['148.177.146.41'],[],"['MDD2ISEUQ.JNJ.COM', 'CNS2ISEUQ.JNJ.COM', 'CNSISEUQ.JNJ.COM', 'EMEDSISEUQ.JNJ.COM', 'MBOXISEUQ.JNJ.COM', 'MDDISEUQ.JNJ.COM', 'PHM2ISEUQ.JNJ.COM', 'PHMISEUQ.JNJ.COM', 'WEBMGSEUQA.JNJ.COM', 'WISEISEUQ.JNJ.COM']",['Authenticated Web Services'],1
ce284a9d-df5c-4d70-9852-0362d93e52b4,['13.110.24.16'],[],"['MDSRCOMMUNITY.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SAT.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE1-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
13c5144f-9647-4853-84e8-1fd0fde2c7ca,"['104.18.35.124', '172.64.152.132']",[],"['A1ADS.JNJ.COM', 'STG.A1ADS.JNJ.COM']","['Authenticated Web Services', 'Services with Soon to Expire TLS Certificates']",2
669a5f90-45e2-467d-82fa-3e85e5be1eb1,['13.110.24.16'],[],"['MDSRCOMMUNITY.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SAT.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE1-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
72fa6d06-821f-4b63-a5cb-5c21316f17b4,['13.110.24.16'],[],"['MDSRCOMMUNITY.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SAT.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE1-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
39d9ee35-e024-4310-b2f2-f804548e923b,"['104.18.33.155', '172.64.154.101']",[],"['ETCSAPP-PRD.JNJ.COM', 'EXT-STAGE-TOTALITYGATEWAY.JNJ.COM']",['Authenticated Web Services'],1
ae891830-2502-49cd-bfd0-8541a0570931,"['13.110.24.10', '13.110.24.13']",[],"['MDSRCOMMUNITY-SAT.JNJ.COM', 'LIVEPREVIEW.SALESFORCE-COMMUNITIES.COM', 'A.FORCEUSERCONTENT.COM', 'A.IAD.EDGE.SALESFORCE.COM', 'B.FORCEUSERCONTENT.COM', 'BUILDER.SALESFORCE-COMMUNITIES.COM', 'C.FORCEUSERCONTENT.COM', 'CLOUDFORCE.COM', 'CONTAINER.LIGHTNING.COM', 'D.FORCEUSERCONTENT.COM', 'DATABASE.COM', 'DOCUMENTFORCE.COM', 'FORCE.COM', 'LIGHTNING.FORCE.COM', 'MDSRCOMMUNITY-SIT.JNJ.COM', 'MDSRCOMMUNITY.JNJ.COM', 'MY.SALESFORCE.COM', 'PREVIEW.SALESFORCE-COMMUNITIES.COM', 'SANDBOX.FORCE.COM', 'SECURE.FORCE.COM', 'SLEDGE-IAD.SLB.SFDCSVC.NET', 'SLEDGE2-IAD.SLB.SFDCSVC.NET', 'VISUALFORCE.COM', 'WWW.MDSRCOMMUNITY-SAT.JNJ.COM']",['Authenticated Web Services'],1
