id,addresses,addresses_extra,names,risks,risk_count
678a800d-72e7-415b-881f-6d17ec4073e4,"['192.168.1.83', '2600:1700:5890:2c40::48', 'fe80::3a22:e2ff:feb8:ef26']","['192.168.223.1', '2600:1700:5890:2c40:3a22:e2ff:feb8:ef26']","['HP3822E2B8EF26', 'HPB8EF26', 'HPB8EF26.ATTLOCAL.NET']",['Authenticated Web Services'],1
9c59e39d-eb8c-4043-97c4-0b116ac0c99f,"['192.168.1.83', '2600:1700:5890:2c40::48', 'fe80::3a22:e2ff:feb8:ef26']","['192.168.223.1', '2600:1700:5890:2c40:3a22:e2ff:feb8:ef26']","['HP3822E2B8EF26', 'HPB8EF26', 'HPB8EF26.ATTLOCAL.NET']",['Authenticated Web Services'],1
8a186674-a7d7-4d81-b0c9-196b320a5590,"['192.168.1.67', '2600:1700:5890:2c40:9dae:b720:f6d3:4599', 'fe80::1893:7d9f:1fda:3a54']",[],['UNKNOWN72129AC247BB.ATTLOCAL.NET'],"['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
50e3c8dd-1136-442a-9cc1-6580569a8725,"['192.168.1.68', '2600:1700:5890:2c40:6577:f2ea:dc0c:e2b7', 'fe80::8dd:1bf3:1638:7bfe']",[],['UNKNOWN1E7AA20565DD.ATTLOCAL.NET'],"['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
4d1b0df7-c0a0-4db9-b130-0bb8abb65f43,"['192.168.1.70', '2600:1700:5890:2c40:a94e:589d:5e3f:741b', 'fe80::49a:9004:9186:244c']","['2600:1700:5890:2c40::1d', '2600:1700:5890:2c40:1c18:89f6:8a5d:c85f']","['LELAINAS-MACBOOK-PRO-2', 'LELAINAS-MBP-2', 'LELAINAS-MBP-2.ATTLOCAL.NET']","['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
d9b42d97-5477-4601-9ec2-7fe06be001f1,"['192.168.1.79', '2600:1700:5890:2c40:22a1:71ff:fea9:740', 'fe80::22a1:71ff:fea9:740']",[],['UNKNOWN20A171A90740.ATTLOCAL.NET'],"['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
4be067bf-d108-452c-b662-06edb0296600,"['192.168.1.80', '2600:1700:5890:2c40::c', '2600:1700:5890:2c40:963:349f:7d73:53ca', '2600:1700:5890:2c40:14a9:6200:8687:1ded']",[],['MAXS-MBP.ATTLOCAL.NET'],"['Public & Private Network Connections', 'Computing assets without CrowdStrike', ""Assets that haven't been scanned in 3 days""]",3
57eb7fdf-9af2-454e-a0e3-9510df9053e8,"['192.168.1.81', '2600:1700:5890:2c40:18bb:167c:f6fb:aba2', 'fe80::3e:ec6f:727b:de59']","['2600:1700:5890:2c40::18', '2600:1700:5890:2c40:1cde:d2df:13fb:d802']","['APPLE-TVLELAIN-A', 'APPLETVLELAINA.ATTLOCAL.NET', 'ROOT-CA']","['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
be629319-47c0-407b-89e7-40b0fe58ac48,"['192.168.1.83', '2600:1700:5890:2c40::48', 'fe80::3a22:e2ff:feb8:ef26']","['192.168.223.1', '2600:1700:5890:2c40:3a22:e2ff:feb8:ef26']","['HP3822E2B8EF26', 'HPB8EF26', 'HPB8EF26.ATTLOCAL.NET']","['Public & Private Network Connections', ""Assets that haven't been scanned in 3 days""]",2
cf2e11e9-75da-4432-a1fb-3909222a84df,"['192.168.1.254', '2600:1700:5890:2c40::1', 'fe80::ceab:2cff:fe79:9b91']",[],"['DSLDEVICE6.ATTLOCAL.NET', 'DSLDEVICE.ATTLOCAL.NET']","['Public & Private Network Connections', 'Unidentified Assets With Open Ports', ""Assets that haven't been scanned in 3 days""]",3
