org_name,search_name,search_description,search_type,severity,count,asset_ids
demo_organization,SMB Signing Not Required,SMB signing should be both enabled and required when exposed to the network.,services,low,4,"['14e4c9f9-810b-4f4d-9d58-98f37fe62423', '2250795a-1295-43c3-8fc8-9f17d56275fb', '401ebf73-c54d-4c32-be31-6ad53c3e9bde', '70f64b40-5fdd-401e-891d-ee0b50595555']"
demo_organization,Authenticated Web Services,Locates web services with form-based or header-based authentication.,services,info,2,"['3a77cba3-d7ac-4bbe-82f9-4d2844e2b585', 'edccfbeb-a42b-41d9-80a5-f61ce99d13fc']"
demo_organization,Public & Private Network Connections,Assets that connect to both public and private networks can serve as entry points for internet attacks.,assets,medium,2,"['adfff7e2-abc7-43bf-b907-e903bbd5d159', '43822a67-9a78-41c9-81bc-77f165c5b104']"
demo_organization,Open Wireless Networks,Identifies wireless access points without authentication.,wireless,medium,3,"['8d8a33df-adf1-4ee1-9d9e-7295c314caa0', '975345c3-d3e3-48d0-8452-bcd406690cd5', '98053388-96a8-418c-995c-ba5ff0de4be8']"
demo_organization,Services with Expired TLS Certificates,TLS certificates with an expiration date in the past.,services,medium,16,"['9ba2b18a-bd56-4bbe-b635-ec99e26ed854', '135d4b1d-6f70-433f-ab2e-6fbcbec1cf8b', '95576eef-75e4-47ae-bbc1-eaf41908f785', '83d48a28-2fdd-476f-8d37-d35c3e767037', 'd295b2d0-0402-4c8b-be6e-174cc8af1e37', 'd6fa3209-bee8-4903-bd85-b082097f57c6', 'bd231df8-a4ca-442d-8d8e-775a9c0e31aa', 'bf67672c-40e0-41eb-9720-cebf2ce7ba4b', '37f75f16-62fe-4f4d-82a6-e72e0367303e', '588f8793-f786-408a-82b2-71b914769713', '4af936df-5870-4dad-89b4-a592aebf361d', 'edccfbeb-a42b-41d9-80a5-f61ce99d13fc', '9e0f70ec-cec3-468b-ad7e-7fb7ffc2f8e1', '9a2f4c2d-1e43-49ef-a9c1-6a0137130b09', '79822be4-f453-4b7c-ab54-19a62084e71b', '784a095d-83a6-4616-aafc-7e66424822b2']"
demo_organization,Database Services Exposed to the Network,Identifies any database services exposed to the network. This query is sped up by first filtering on the asset-level protocols field before filtering on the service-level protocol field.,services,low,2,"['505574a2-0df9-4161-b809-b87e6c256cca', 'f93b1974-480c-44bb-8041-5f393ff81792']"
demo_organization,Services with Soon to Expire TLS Certificates,TLS certificates expiring in the next six weeks.,services,medium,16,"['9ba2b18a-bd56-4bbe-b635-ec99e26ed854', '135d4b1d-6f70-433f-ab2e-6fbcbec1cf8b', '95576eef-75e4-47ae-bbc1-eaf41908f785', '83d48a28-2fdd-476f-8d37-d35c3e767037', 'd295b2d0-0402-4c8b-be6e-174cc8af1e37', 'd6fa3209-bee8-4903-bd85-b082097f57c6', 'bd231df8-a4ca-442d-8d8e-775a9c0e31aa', 'bf67672c-40e0-41eb-9720-cebf2ce7ba4b', '37f75f16-62fe-4f4d-82a6-e72e0367303e', '588f8793-f786-408a-82b2-71b914769713', '4af936df-5870-4dad-89b4-a592aebf361d', 'edccfbeb-a42b-41d9-80a5-f61ce99d13fc', '9e0f70ec-cec3-468b-ad7e-7fb7ffc2f8e1', '9a2f4c2d-1e43-49ef-a9c1-6a0137130b09', '79822be4-f453-4b7c-ab54-19a62084e71b', '784a095d-83a6-4616-aafc-7e66424822b2']"
demo_organization,Ubiquiti Devices,Finds equipment manufactured by Ubiquiti Networks.,assets,info,6,"['232a1c44-1e91-4e76-b6c9-963f7a32460b', '518714c7-a3c3-46f4-9b03-d9c4b1761867', '1205245d-60fd-48f8-b159-f0ea7f829a72', '1eef52f1-cea9-482f-8c8c-9665ca3401ba', 'ca3e7998-2073-4baf-b7c1-27540f9ee3de', 'f730f566-5f9e-4b87-8f90-e9202002d245']"
demo_organization,Asset OS past EOL,Finds assets running an OS with an expired end-of-life date,assets,medium,5,"['232a1c44-1e91-4e76-b6c9-963f7a32460b', '7f872d4b-4f60-4f35-b7f2-2dcfa0f7d808', '152fd6c2-615d-4a6a-aba2-a17bfdece60d', '182ef67a-efb1-443a-bb03-6ae83a125a33', '71d2596d-d2d0-497c-b47f-46ea1a21f7fb']"
demo_organization,SMB Protocol In Use,,services,info,5,"['14e4c9f9-810b-4f4d-9d58-98f37fe62423', '2250795a-1295-43c3-8fc8-9f17d56275fb', '401ebf73-c54d-4c32-be31-6ad53c3e9bde', '459d655a-f159-40bc-a276-788332437565', '70f64b40-5fdd-401e-891d-ee0b50595555']"
demo_organization,Authenticated Web Services with no encryption,,services,info,1,['3a77cba3-d7ac-4bbe-82f9-4d2844e2b585']
demo_organization,NTP Services With Skewed Clocks,Systems running the NTP daemon with a clock skew greater than one second.,services,low,2,"['15032f29-6ce6-4084-b1ae-bdfaeaffc279', '2eb78034-a0df-46f1-b829-9a184f81cc89']"
demo_organization,Windows with vulnerable HTTP Trailer Support logic,"Modern Windows versions may contain a HTTP protocol stack with vulnerability CVE-2022-21907. Considered “low complexity” to exploit, successful exploitation does not require authentication and can yield remote code execution to an attacker. This query will surface potentially vulnerable assets.",assets,high,3,"['152fd6c2-615d-4a6a-aba2-a17bfdece60d', '182ef67a-efb1-443a-bb03-6ae83a125a33', '71d2596d-d2d0-497c-b47f-46ea1a21f7fb']"
demo_organization,Linux instances vulnerable to PwnKit,Identifies assets running Linux distributions that were affected by PwnKit (CVE-2021-4034).,assets,high,8,"['3277935d-be33-463d-be7f-691af7a1d6bc', '232a1c44-1e91-4e76-b6c9-963f7a32460b', '14fd101a-2573-4384-9513-b33601bef63d', 'b27308d3-4ced-438d-a615-d1f233a69622', 'd0b7fe93-5a49-47a8-b20e-c37d78518592', 'b3aee047-cbe8-4901-a05d-859363084b45', '43822a67-9a78-41c9-81bc-77f165c5b104', 'd2fbe514-e28f-4b91-80be-861052fe3dc9']"
demo_organization,Computing assets without CrowdStrike,Finds laptops/desktops/servers which are missing CrowdStrike agents.,assets,info,12,"['3277935d-be33-463d-be7f-691af7a1d6bc', '232a1c44-1e91-4e76-b6c9-963f7a32460b', '14fd101a-2573-4384-9513-b33601bef63d', 'b27308d3-4ced-438d-a615-d1f233a69622', '14a53487-8231-4c1f-93c9-fbe01d66a9f1', 'd0b7fe93-5a49-47a8-b20e-c37d78518592', 'b3aee047-cbe8-4901-a05d-859363084b45', '152fd6c2-615d-4a6a-aba2-a17bfdece60d', '182ef67a-efb1-443a-bb03-6ae83a125a33', '71d2596d-d2d0-497c-b47f-46ea1a21f7fb', '43822a67-9a78-41c9-81bc-77f165c5b104', 'd2fbe514-e28f-4b91-80be-861052fe3dc9']"
demo_organization,Assets that haven't been scanned in 3 days,,assets,info,52,"['3277935d-be33-463d-be7f-691af7a1d6bc', '232a1c44-1e91-4e76-b6c9-963f7a32460b', '14fd101a-2573-4384-9513-b33601bef63d', 'b27308d3-4ced-438d-a615-d1f233a69622', '14a53487-8231-4c1f-93c9-fbe01d66a9f1', 'd0b7fe93-5a49-47a8-b20e-c37d78518592', '7f872d4b-4f60-4f35-b7f2-2dcfa0f7d808', '3fdb1d32-ad35-4c5a-80b7-8faf9bf93d2f', 'd1e08f71-1e7e-4761-84e8-e7d7a1563298', 'bd882fa4-20f8-475b-adde-3286d59e178a', '7d7c4240-66a7-4b48-b9e4-ab157acdde95', '68af77fb-c89b-4190-ba4e-528d4bfb4eaf', 'adfff7e2-abc7-43bf-b907-e903bbd5d159', 'b3aee047-cbe8-4901-a05d-859363084b45', '152fd6c2-615d-4a6a-aba2-a17bfdece60d', '98e54404-54d7-463f-be44-f630b0ae1f9c', '8ec1be39-bc6c-4cf2-bd66-0dd293ebe9f8', '182ef67a-efb1-443a-bb03-6ae83a125a33', '71d2596d-d2d0-497c-b47f-46ea1a21f7fb', '43822a67-9a78-41c9-81bc-77f165c5b104', '3482161a-16eb-4e91-b3fc-461ba3d084fb', 'cfb8b39e-f214-48ce-bd2f-57102a2ee36a', '518714c7-a3c3-46f4-9b03-d9c4b1761867', '1205245d-60fd-48f8-b159-f0ea7f829a72', '1eef52f1-cea9-482f-8c8c-9665ca3401ba', 'ca3e7998-2073-4baf-b7c1-27540f9ee3de', 'f730f566-5f9e-4b87-8f90-e9202002d245', '05f9708e-ed2d-4c60-a335-84ea519a1406', 'a9d8d82d-2698-4d8e-a43a-a850d5065ab6', '1826a97d-e0a5-4ce6-85d0-16d854c58ecf', '19bdeb37-b39e-4037-8ffe-78e25afd25f5', '33d1a8b0-53ea-4f6a-abac-5f91f5a83c45', '100d1ef5-1262-433a-96f9-cff67d4ad91a', '6104810b-4790-4e52-809d-97bf354fb2d5', '982f5ac5-a14d-4440-9f6e-bc4c6a6b66e0', '3375f452-58ad-4103-969e-68818592ee5f', '2c1ef2b8-f9bf-4b99-8a8d-b15f917ae830', 'ae6cf016-b4c1-41b7-bae9-23a2e5ff33d2', '51c4eb2f-23d7-4a64-8284-11533277a55d', 'd2fbe514-e28f-4b91-80be-861052fe3dc9', '55b9a510-b45d-4cd5-adee-5a5e0750564c', '9531e21f-7958-419e-9555-696aef53509c', '1a3d9fa5-3177-4431-899a-1fc005f74f5c', 'd5e52952-7e9e-4191-8fe0-18b5f8b3dc07', '108e5661-ba93-4e5f-b705-b79125d5bce1', '37a21085-e1e9-4357-b07a-0f4faa5f0411', 'ba430a93-e75a-4209-9cdf-9b3ef0f083b0', '60d840f7-5113-4740-8460-cfdf9e38090e', 'd0dba983-7d93-4627-91be-12cae541116d', 'd0fd7f93-a3e7-4472-980e-48934bec31b0', '940ec5e5-7c99-416c-9631-dfc4bdec5c59', 'ab36f67e-566e-4d96-9ca6-e36de3944a32']"
