name,description,type,category,severity,query,auto
SMB Signing Not Required,SMB signing should be both enabled and required when exposed to the network.,services,policy,low,_asset.protocol:smb AND has:smb.signing AND NOT smb.signing:required,false
Remote Desktop Exposed to the Internet,Remote Desktop services on assets with with external IP addresses.,assets,policy,medium,haspublic:true AND protocols:rdp,false
Authenticated Web Services,Locates web services with form-based or header-based authentication.,services,security,info,"_asset.protocol:http AND ( html.inputs:""password:"" OR last.html.inputs:""password:"" OR has:http.head.wwwAuthenticate OR has:last.http.head.wwwAuthenticate )",false
Public & Private Network Connections,Assets that connect to both public and private networks can serve as entry points for internet attacks.,assets,security,medium,haspublic:true AND hasprivate:true,false
WEP Wireless Networks,Identifies wireless access points using WEP encryption.,wireless,security,high,enc:wep,false
Remote Desktop Gateways,Identify Remote Desktop Gateways exposed over dTLS and HTTP.,services,policy,info,(_asset.protocol:dtls OR _asset.protocol:http) AND ( (protocol:dtls OR protocol:http) AND has:rdg.Transport ),false
Unidentified Assets With Open Ports,"No matching OS, Type, or HW with at least one responsive port.",assets,miscellaneous,info,(os:= AND type:= AND hw:=) AND (tcp_count:>0 OR udp_count:>0),false
Open Wireless Networks,Identifies wireless access points without authentication.,wireless,security,medium,auth:open,false
SMB v3 Compression Enabled,Unpatched Windows systems with SMB compression enabled may be vulnerable to CVE-2020-0796.,services,security,info,_asset.protocol:smb AND os:Windows AND protocol:smb AND has:smb.compressionAlg,false
SMB v1 Enabled,SMBv1 is deprecated and is considered a security risk.,services,security,medium,_asset.protocol:smb1 protocol:smb1,false
Services with Expired TLS Certificates,TLS certificates with an expiration date in the past.,services,maintenance,medium,_asset.protocol:tls AND tls.notAfterTS:<now,false
Database Services Exposed to the Network,Identifies any database services exposed to the network. This query is sped up by first filtering on the asset-level protocols field before filtering on the service-level protocol field.,services,security,low,"alive:t AND ((_asset.protocols:mysql OR _asset.protocols:postgres OR _asset.protocols:mssql OR _asset.protocols:oracledb OR _asset.protocols:mongodb OR _asset.protocols:memcache OR _asset.protocols:couchdb OR _asset.protocols:cassandra OR _asset.protocols:redis OR _asset.protocols:elasticsearch OR _asset.protocols:riak OR _asset.protocols:influxdb) 

AND

(protocol:mysql OR protocol:postgres OR protocol:mssql OR protocol:oracledb OR protocol:mongodb OR protocol:memcache OR protocol:couchdb OR protocol:cassandra OR protocol:redis OR protocol:elasticsearch OR protocol:riak OR protocol:influxdb) )",false
Services with Soon to Expire TLS Certificates,TLS certificates expiring in the next six weeks.,services,maintenance,medium,_asset.protocol:tls AND tls.notAfterTS:<6weeks,false
Treck OS Embedded Devices (IP TTL),Identifies devices running Treck OS using the IP TTL.,assets,security,low,ip.ttl.source:64 AND ip.ttl.source.icmp:255,false
Treck OS Embedded Devices (Services),Identifies devices running Treck OS using service fingerprints.,services,security,low,"( _asset.protocol:http AND http.head.server:""$ProjectRevision:"")
 OR 
(_asset.protocol:ftp AND protocol:ftp AND banner:""Treck FTP"")
OR
(_asset.protocol:snmp AND protocol:snmp AND snmp.engineID.vendor:""Treck"")",false
F5 Networks BIG-IP Assets,Identifies BIG-IP assets on the network,services,security,medium,"_asset.protocol:http AND protocol:http AND ( 
service.vendor:F5 OR 
html.title:""=BIG-IP%"" OR 
html.copyright:""F5 Networks, Inc"" OR 
http.body:""/tmui/"" OR 
favicon.ico.image.md5:04d9541338e525258daf47cc844d59f3)",false
NDAA 2019 Section 889 Vendors,Finds equipment manufactured by firms on the NDAA 2019 Section 899 list.,assets,audit,high,"alive:t AND (
(
vendor:zte OR vendor:huawei OR vendor:H3C OR vendor:CRRC OR vendor:dahua OR vendor:hikvision OR vendor:hisilicon OR vendor:panda OR vendor:dawning OR vendor:hangzhou OR vendor:hytera OR vendor:inspur OR vendor:""Aero Engine Corporation of China"" OR vendor:""Aviation Industry Corporation of China"" OR vendor:""China Aerospace"" OR vendor:""China Electronics"" OR vendor:""China General Nuclear Power"" OR vendor:""China Mobile"" OR vendor:""China National Nuclear Power"" OR vendor:""China North Industries Group"" OR vendor:""China Railway"" OR vendor:""China Shipbuilding"" OR vendor:""China South Industries Group"" OR vendor:""China State Shipbuilding"" OR vendor:""China Telecommunications"" OR vendor:ztec OR vendor:ztek OR vendor:""z-tec"" OR vendor:5shanghai OR vendor:""Hella Sonnen"" OR vendor:anhui OR vendor:""technology sdn bhd"" OR vendor:azteq
)
OR 
(
hw:zte OR hw:huawei OR hw:h3c OR hw:CRRC OR hw:dahua OR hw:hikvision OR hw:hisilicon OR hw:panda OR hw:dawning OR hw:hangzhou OR hw:hytera OR hw:inspur OR hw:""Aero Engine Corporation of China"" OR hw:""Aviation Industry Corporation of China"" OR hw:""China Aerospace"" OR hw:""China Electronics"" OR hw:""China General Nuclear Power"" OR hw:""China Mobile"" OR hw:""China National Nuclear Power"" OR hw:""China North Industries Group"" OR hw:""China Railway"" OR hw:""China Shipbuilding"" OR hw:""China South Industries Group"" OR hw:""China State Shipbuilding"" OR hw:""China Telecommunications"" OR hw:ztec OR hw:ztek OR hw:""z-tec"" OR hw:5shanghai OR hw:""Hella Sonnen"" OR hw:anhui OR hw:""technology sdn bhd"" OR hw:azteq
) 
)",false
SolarWinds Orion,Identifies SolarWinds Orion services,services,security,medium,"_asset.protocol:http AND
(
 html.title:""SolarWinds Orion"" OR
 last.html.title:""SolarWinds Orion"" OR
 http.head.setCookie:""Orion_IsSessionExp"" OR
 last.http.head.setCookie:""Orion_IsSessionExp"" OR
 favicon.ico.image.md5:""53317933c27890ae9218697ecc0e97d9"" OR
 last.http.uri:/Orion/Login.aspx
)",false
DNSMasq DNS Servers,Identifies DNS services running the dnsmasq software,services,miscellaneous,info,"_asset.protocol:dns AND dns.version.bind:""=dnsmasq%""",false
Accellion Legacy FTA,Identifies legacy Accellion file transfer appliances,services,security,high,"products:apache AND (
 favicon.ico.image.md5:=9423d9e9ce004c29dd5bc622f0112123 OR
 http.head.setCookie:sfcurl=deleted OR
 http.head.location:/wmLogin OR
 last.http.head.location:/wmLogin
 )",false
Ubiquiti Devices,Finds equipment manufactured by Ubiquiti Networks.,assets,miscellaneous,info,vendor:Ubiquiti OR hw:Ubiquiti OR os:Ubiquiti OR protocol:ubnt OR names:unifi OR names:ubiquiti,false
Exim Servers,Identifies Exim servers on the network,services,security,medium,_asset.protocol:smtp and protocol:smtp and banner:exim,false
SolarWinds Serv-U MFT SSH,Identifies SSH services using the insecure Serv-U key or advertising the Serv-U banner.,services,security,medium,"_asset.protocol:ssh AND protocol:""ssh"" AND (banner:""SSH-2.0-Serv-U"" OR ssh.hostKey.md5:""=e4:dd:11:2e:82:34:ab:62:59:1c:c8:62:1d:4b:48:99"")",false
SolarWinds Serv-U FTP,Identifies Serv-U FTP services using the product fingerprint,assets,security,medium,"product:""serv-u ftp server""",false
