id,created_at,updated_at,created_by,type,category,severity,name,description,query,auto,alive_only,report_vuln,risk,exploitable,vid,cve,cvss2_base_score,cvss2_temporal_score,cvss3_base_score,cvss3_temporal_score,cpe23,solution,attributes,report_finding,finding_code
90e8b2c4-3dda-41c1-b2b8-97e2515495b1,2023-03-26,2025-04-16,runZero,services,Best Practice,Low,Authenticated Web Service Without Encryption,"The web service requires authentication but does not support TLS encryption.
This configuration can result in exposure of the service credentials.","(_asset.protocol:http AND not _asset.protocol:tls) AND 
( html.inputs:""password:"" OR last.html.inputs:""password:"" OR has:http.head.wwwAuthenticate OR has:last.http.head.wwwAuthenticate )",false,true,true,Low,false,rz-query-best-practice-web-service-without-encryption,,0.00,0.00,0.00,0.00,,"Enable TLS on this web service. If configuration of the service is not possible, consider placing the service behind
a TLS-enabled web proxy.","{""confidence"":""high"",""links"":{""urls"":[{""title"":""A Fact Sheet on Hyper Text Transfer Protocol Secure (HTTPS)"",""url"":""https://www.cisa.gov/resources-tools/resources/hyper-text-transfer-protocol-secure-https""}]}}",true,rz-finding-best-practice-insecure-authentication
f4e847b6-8cec-45c1-bcaf-6eca74317d0e,2023-03-26,2025-04-16,runZero,wireless,Best Practice,Low,Open Wireless Network,"The wireless network is configured without authentication or encryption.
Open wireless networks can be abused by an attacker intercept and manipulate the network traffic.",auth:open,false,false,false,Info,false,,,0.00,0.00,0.00,0.00,,Configure the wireless network to require WPA2 or stronger authentication.,"{""confidence"":""high"",""links"":{""urls"":null}}",false,
22501194-6d4a-47f7-9169-83f6315211b2,2023-03-26,2025-04-16,runZero,services,Open Access,Medium,World-Readable NFS Export,"The Network File System (NFS) service is configured to allow data access from any source.
An attacker can abuse this issue to read and possibly modify the shared files.","_asset.protocol:mountd AND protocol:=""mountd"" AND nfs.allowed:""%=*""",false,true,true,Medium,true,rz-query-open-access-nfs-world-readable,,7.50,0.00,7.50,0.00,,Configure the NFS service to use authentication or limit access to trusted hosts only.,"{""confidence"":""high"",""links"":{""urls"":[{""url"":""https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/7/html/storage_administration_guide/s1-nfs-security""},{""url"":""https://tldp.org/HOWTO/NFS-HOWTO/security.html""}]}}",true,rz-finding-open-access-unauth-files
90b446e7-a8bc-4891-a454-f27b8e71ac3d,2023-03-26,2025-04-16,runZero,services,Best Practice,Low,SMB Version 1 Enabled,"The Server Message Block (SMB) service is configured to use version 1. SMB version 1 is insecure because it lacks modern security features such as encryption and signing, making it vulnerable to interception and relay attacks.",_asset.protocol:smb1 protocol:smb1,false,true,true,Info,false,rz-query-best-practice-smb-v1,,0.00,0.00,0.00,0.00,,"To disable SMB version 1 and enable SMB version 2 and 3 on Microsoft Windows, configure the following Group Policy settings:

1. Open the Group Policy Management Console (gpmc.msc).
2. Navigate to `Computer Configuration -> Administrative Templates -> Network -> Lanman Workstation`.
3. Set the `Enable insecure guest logons` policy to `Disabled`.
4. Navigate to `Computer Configuration -> Administrative Templates -> Network -> Lanman Server`.
5. Set the `SMB1` protocol to `Disabled`.
6. Set the `SMB2` protocol to `Enabled`.

To disable SMB version 1 on Samba, add the following lines to your smb.conf file:
```ini
[global]
    smb protocol = SMB2
    client min protocol = SMB2
```

Restart the Samba smbd service to apply the changes:
```
sudo systemctl restart smbd
```","{""confidence"":""medium"",""links"":{""urls"":[{""title"":""How to detect, enable and disable SMBv1, SMBv2, and SMBv3 in Windows"",""url"":""https://learn.microsoft.com/en-us/windows-server/storage/file-server/troubleshoot/detect-enable-and-disable-smbv1-v2-v3?tabs=server""}]}}",true,rz-finding-best-practice-obsolete-protocol
b243b32d-48ff-43c3-8ca7-b9115c49b2f5,2023-03-26,2025-04-16,runZero,services,Internet Exposure,Low,Potential External Access To Remote Desktop Gateway,The Remote Desktop Gateway service may be exposed to the public internet.,"has_public:t AND service_has_public:f AND (
    (_asset.protocol:dtls OR _asset.protocol:http) AND 
    ((protocol:dtls OR protocol:http) AND has:rdg.transport)
)",false,true,true,Low,false,rz-query-internet-exposed-potential-rdg,,0.00,0.00,0.00,0.00,,"Review the results and determine if the service is exposed to the internet.
Consider placing this device on a VPN-accessible network instead.","{""confidence"":""high"",""links"":{""urls"":null}}",true,rz-finding-internet-exposed-ioasm-public-internal-asset
0f3bc9b2-375a-438a-9cdd-83fe4f4a769e,2023-03-26,2025-04-16,runZero,services,Best Practice,Low,Obsolete SSL Protocol,"The service supports an obsolete version of the SSL protocol. 
SSLv2 and SSLv3 are considered insecure and should not be used to protect sensitive data.","_asset.protocol:tls AND protocol:""tls"" AND tls.supportedVersionNames:""SSL""",false,true,true,Info,false,rz-query-best-practice-ssl,,0.00,0.00,0.00,0.00,,Disable SSLv2 and SSLv3 on the affected service and configure it to use only modern versions of the TLS protocol (1.2 or newer).,"{""confidence"":""high"",""links"":{""urls"":[{""title"":""Eliminating Obsolete Transport Layer Security (TLS) Protocol Configurations"",""url"":""https://media.defense.gov/2021/Jan/05/2002560140/-1/-1/0/ELIMINATING_OBSOLETE_TLS_UOO197443-20.PDF""}]}}",true,rz-finding-best-practice-obsolete-protocol
00a1d90e-283f-46d5-947b-b4112dd41765,2023-03-26,2025-04-16,runZero,services,Internet Exposure,Medium,Publicly Exposed Remote Desktop Gateway,The Remote Desktop Gateway service is exposed to the public internet.,"service_has_public:t AND (
    (_asset.protocol:dtls OR _asset.protocol:http) AND 
    ((protocol:dtls OR protocol:http) AND has:rdg.transport)
)",false,true,true,Medium,false,rz-query-internet-exposed-rdg,,0.00,0.00,0.00,0.00,,"Review the results and determine if the service should be exposed to the internet.
Consider placing this device on a VPN-accessible network instead.","{""confidence"":""high"",""links"":{""urls"":[{""url"":""https://learn.microsoft.com/en-us/windows-server/remote/remote-desktop-services/rds-plan-access-from-anywhere""}]}}",true,rz-finding-internet-exposed-service
0b8bf1f4-83b2-4e3a-9190-129f0d557ce4,2023-03-26,2025-04-16,runZero,wireless,Best Practice,Low,Wireless Network Using WEP Encryption,"The wireless network is using Wired Equivalent Privacy (WEP) encryption. 
WEP is an older security mechanism that can be easily broken with modern tools.",enc:wep,false,false,false,Info,false,,,0.00,0.00,0.00,0.00,,Configure the wireless network to require WPA2 or stronger authentication.,"{""confidence"":""high"",""links"":{""urls"":null}}",false,
95e3d611-3486-42c8-8392-6aedc8a8c1e4,2023-03-26,2025-04-16,runZero,services,Certificates,Low,Expired Certificate On TLS Service,"The TLS service uses an expired certificate. Clients will generally refuse to connect to services with
expired certificates, and may indicate to users that the service is unsafe.",_asset.protocol:tls AND tls.notAfterTS:<now,false,true,true,Info,false,rz-query-certificates-expired,,0.00,0.00,0.00,0.00,,Renew or replace the expired certificate.,"{""confidence"":""high"",""links"":{""urls"":[{""title"":""What happens after SSL/TLS certificate expires?"",""url"":""https://security.stackexchange.com/questions/258128/what-happens-after-ssl-tls-certificate-expires""}]}}",true,rz-finding-certificates-expiration
e3714b71-048a-4f95-a393-3053bcc972b2,2023-03-26,2025-04-16,runZero,services,Best Practice,Low,SMB Signing Not Required,The Server Message Block (SMB) service does not enforce message signing. This can enable an attacker with access to the network to manipulate connections and potentially gain access to authenticated sessions.,_asset.protocol:smb AND protocol:smb AND has:smb.signing AND NOT smb.signing:required,false,true,true,Info,false,rz-query-best-practice-smb-signing-not-required,,0.00,0.00,0.00,0.00,,"Update the SMB configuration to require signing on all connections.

To enforce SMB signing on Microsoft Windows, configure the following Group Policy settings:

1. Open the Group Policy Management Console (gpmc.msc).
2. Navigate to `Computer Configuration` -> `Windows Settings` -> `Security Settings` -> `Local Policies` -> `Security Options`.
3. Enable the following policies:
    - `Microsoft network client: Digitally sign communications (always)`
    - `Microsoft network server: Digitally sign communications (always)`

For systems running Samba, set the following parameters in the smb.conf file:

```ini
[global]
server signing = mandatory
client signing = mandatory
```

Restart the Samba smbd service to apply the changes:
```
sudo systemctl restart smbd","{""confidence"":""high"",""links"":{""urls"":[{""title"":""Overview of Server Message Block signing"",""url"":""https://learn.microsoft.com/en-us/troubleshoot/windows-server/networking/overview-server-message-block-signing""},{""title"":""Control SMB signing behavior"",""url"":""https://learn.microsoft.com/en-us/windows-server/storage/file-server/smb-signing?tabs=group-policy""}]}}",true,rz-finding-best-practice-service-misconfiguration
