org_name,asset_count,site_id,subnet,risk,avg_risk,criticality,avg_criticality,search
demoscene,2,038cd651-7beb-465a-939b-db298e49e2a8,120.114.183.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.114.183.0%2F24
demoscene,2,580e9cdd-da35-4257-942e-4a24c327011e,192.168.0.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A580e9cdd-da35-4257-942e-4a24c327011e+AND+net%3A192.168.0.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.28.58.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.28.58.0%2F24
demoscene,3,1a6bc37a-0a1e-4b96-9961-83265027c392,18.188.130.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A1a6bc37a-0a1e-4b96-9961-83265027c392+AND+net%3A18.188.130.0%2F24
demoscene,3,1a6bc37a-0a1e-4b96-9961-83265027c392,172.31.0.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A1a6bc37a-0a1e-4b96-9961-83265027c392+AND+net%3A172.31.0.0%2F24
demoscene,7,9ed46fe0-6035-4b83-91b9-31662eaf2d25,192.168.30.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A9ed46fe0-6035-4b83-91b9-31662eaf2d25+AND+net%3A192.168.30.0%2F24
demoscene,7,9ed46fe0-6035-4b83-91b9-31662eaf2d25,192.168.40.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A9ed46fe0-6035-4b83-91b9-31662eaf2d25+AND+net%3A192.168.40.0%2F24
demoscene,4,9ed46fe0-6035-4b83-91b9-31662eaf2d25,192.168.0.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A9ed46fe0-6035-4b83-91b9-31662eaf2d25+AND+net%3A192.168.0.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.102.232.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.102.232.0%2F24
demoscene,4,038cd651-7beb-465a-939b-db298e49e2a8,120.126.54.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.126.54.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.114.235.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.114.235.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.127.48.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.127.48.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.50.23.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.50.23.0%2F24
demoscene,2,038cd651-7beb-465a-939b-db298e49e2a8,120.89.3.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.89.3.0%2F24
demoscene,1,9ed46fe0-6035-4b83-91b9-31662eaf2d25,192.168.50.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A9ed46fe0-6035-4b83-91b9-31662eaf2d25+AND+net%3A192.168.50.0%2F24
demoscene,1,038cd651-7beb-465a-939b-db298e49e2a8,120.126.195.0/24,0,0.0,0,0.0,https://console.runzero.com/inventory/services?search=alive%3At+protocol%3Atls+tls.notAfterTS%3A%3Cnow+AND+site%3A038cd651-7beb-465a-939b-db298e49e2a8+AND+net%3A120.126.195.0%2F24
