host,port_count,ports
119.8.177.36,2,"['0', '0']"
123.60.127.85,708,"['0', '0', '53', '53', '53', '53', '0', '17791', '53', '5405', '3306', '1220', '5222', '6002', '135', '16992', '1352', '9002', '264', '5520', '25', '17798', '8009', '4679', '110', '37777', '4322', '8205', '8161', '1030', '2121', '19888', '5022', '3050', '7510', '1035', '6661', '23', '389', '7580', '30000', '6514', '6000', '143', '6542', '8028', '1300', '5631', '2083', '8099', '12397', '9809', '37890', '1311', '903', '7077', '4659', '1530', '2947', '6106', '81', '7071', '84', '17777', '1080', '5666', '11234', '8000', '9084', '16102', '617', '34964', '102', '5000', '10050', '7787', '7001', '38010', '19300', '3311', '5060', '4369', '8180', '47002', '1101', '4343', '7879', '9300', '5985', '109', '2323', '3500', '2199', '8030', '222', '4445', '5351', '8812', '5275', '17790', '7474', '28017', '1604', '990', '7579', '161', '1811', '88', '6379', '28222', '2181', '8080', '40007', '50000', '10001', '50070', '4730', '7777', '4840', '3128', '540', '27888', '8089', '20222', '1433', '444', '41080', '8899', '465', '5554', '47001', '407', '5051', '9160', '6667', '873', '11099', '2103', '3632', '2525', '1', '1900', '9855', '631', '8471', '14330', '2967', '7676', '9091', '5037', '10008', '9595', '13500', '20034', '43', '6001', '34443', '85', '5347', '5986', '1090', '8888', '88', '88', '88', '9002', '8009', '7510', '84', '8000', '8009', '7001', '9084', '5000', '8180', '10001', '7777', '8080', '5222', '8089', '8899', '8009', '3128', '902', '57772', '402', '502', '4433', '8787', '1100', '19810', '9391', '79', '7902', '3217', '6070', '9999', '10000', '119', '50090', '37718', '8333', '1103', '81', '1755', '70', '995', '9002', '9002', '7510', '7510', '9091', '85', '8000', '6001', '84', '8000', '37', '9443', '3628', '2809', '8883', '15200', '8088', '84', '8180', '5000', '10000', '8180', '5000', '7001', '9100', '10616', '5433', '2379', '5038', '384', '1533', '9524', '8014', '12174', '6503', '7100', '26000', '9530', '3460', '3273', '25025', '15671', '998', '34963', '9092', '7181', '2604', '7770', '8400', '8086', '636', '17784', '10202', '7000', '7001', '8888', '1090', '9084', '9084', '10098', '7373', '28784', '5247', '16993', '8081', '5498', '4444', '38008', '6504', '23943', '623', '17783', '20000', '9471', '5168', '10001', '8080', '8883', '10001', '8080', '10080', '10443', '69', '9440', '62078', '20111', '17778', '27000', '6988', '26122', '27019', '6112', '2049', '21', '443', '5671', '123', '8088', '8899', '5222', '8899', '5222', '554', '6082', '6060', '912', '80', '4443', '3000', '8089', '7777', '8014', '20000', '8089', '8086', '7777', '995', '7000', '9443', '3128', '81', '3128', '4444', '81', '9091', '5672', '2100', '5061', '1494', '49', '25565', '2362', '61616', '13364', '25000', '7210', '55580', '85', '6001', '9091', '85', '6001', '523', '8008', '9527', '8545', '9001', '83', '10080', '8888', '8888', '1090', '1090', '9999', '105', '8686', '3037', '17782', '8883', '6060', '8883', '8081', '3200', '5400', '38292', '5632', '524', '9111', '1583', '9000', '80', '3000', '113', '771', '5521', '587', '443', '8903', '3312', '6405', '3300', '1024', '7700', '9099', '8020', '8088', '8088', '8008', '83', '37891', '888', '46824', '7800', '31001', '7080', '921', '9001', '4443', '8686', '8014', '8014', '8086', '8086', '9000', '4000', '8443', '6080', '6905', '515', '1581', '55553', '6502', '34205', '3351', '7547', '8012', '7000', '995', '7000', '4444', '4444', '9443', '8020', '7800', '5250', '6262', '3690', '8983', '137', '62514', '9080', '10628', '31099', '8023', '7080', '82', '9152', '23472', '15672', '500', '20010', '45230', '4848', '13', '12345', '20101', '111', '18264', '7443', '10080', '587', '10080', '6060', '6060', '8095', '42', '17781', '5093', '10203', '139', '9418', '8488', '1099', '783', '8087', '5355', '995', '8012', '995', '9443', '8081', '3000', '993', '11333', '8222', '3780', '5900', '8303', '512', '27080', '1582', '3817', '8127', '1129', '8090', '910', '5814', '3000', '1000', '8081', '9443', '9080', '82', '8443', '80', '80', '8087', '443', '2598', '5601', '1241', '8098', '2222', '1521', '18881', '34962', '2533', '9060', '5984', '12221', '1234', '8095', '443', '8090', '7443', '1000', '5601', '8098', '443', '443', '3790', '32913', '5683', '32764', '2375', '5353', '22', '6050', '38102', '5040', '1270', '7144', '3269', '17776', '1091', '12203', '3057', '2082', '2376', '9380', '1468', '44334', '8503', '5580', '6660', '1098', '2638', '9390', '10162', '9090', '27017', '8800', '38080', '12401', '9081', '1128', '8008', '8008', '83', '83', '9001', '9001', '179', '2380', '5555', '5392', '1199', '6556', '11000', '5938', '20171', '8686', '4443', '8686', '4443', '8800', '5555', '9090', '9081', '17200', '20293', '8300', '1723', '10051', '3268', '41025', '37892', '3389', '5988', '41524', '3299', '5432', '689', '23791', '9042', '8901', '1089', '1883', '11000', '9000', '9000', '705', '1440', '4092', '46823', '2381', '8902', '2601', '44818', '5800', '4567', '50013', '6101', '7801', '9495', '8880', '7778', '7', '25672', '5989', '65535', '2000', '48899', '49152', '13838', '20031', '9200', '5560', '9600', '17775', '513', '1158', '5920', '8834', '40317', '7021', '19', '22222', '9', '8020', '8020', '7800', '7800', '7080', '1883', '7080', '9200', '1102', '52302', '17185', '587', '587', '7021', '548', '8880', '8012', '8012', '2207', '9080', '9080', '1102', '82', '82', '8443', '41523', '8087', '8087', '8443', '8095', '8095', '8443', '8090', '8090', '7443', '7443', '1000', '1000', '5601', '5601', '8098', '8098', '8800', '5555', '8800', '5555', '9081', '9081', '9090', '9090', '11000', '11000', '1883', '1883', '7021', '7021', '8880', '1102', '8880', '1102', '1211', '']"
119.3.116.193,708,"['0', '0', '53', '53', '53', '53', '0', '5222', '1220', '16992', '1352', '17791', '3128', '9002', '5520', '17798', '8009', '25', '135', '5405', '3306', '53', '264', '6002', '8205', '4322', '37777', '5022', '1035', '110', '4679', '3050', '19888', '1030', '8161', '2121', '6661', '389', '7510', '1300', '30000', '6000', '143', '7580', '2083', '5631', '8028', '6542', '12397', '1530', '6514', '1311', '9809', '7077', '903', '4659', '8099', '2947', '6106', '17777', '5666', '8000', '11234', '7071', '9084', '4567', '81', '1080', '84', '10050', '34964', '617', '47002', '9300', '19300', '38010', '7879', '8180', '1101', '5000', '4369', '5985', '7001', '7787', '5060', '3311', '4343', '109', '7474', '5275', '17790', '222', '50013', '28017', '2199', '4445', '8812', '3500', '1604', '1090', '1811', '5351', '2323', '990', '7579', '8030', '161', '6379', '88', '50000', '8080', '10001', '28222', '4840', '2181', '40007', '7777', '50070', '4730', '8888', '27888', '20222', '540', '5554', '465', '5051', '1433', '444', '8899', '47001', '9160', '6101', '2525', '8089', '2103', '11099', '873', '1', '41080', '7801', '9855', '1900', '3632', '8471', '7', '5037', '631', '7676', '8880', '14330', '2967', '10008', '7778', '9091', '5986', '5347', '43', '13500', '9595', '6001', '85', '34443', '88', '88', '5222', '9002', '8009', '3128', '7510', '88', '5222', '8000', '81', '9084', '84', '8180', '7001', '5000', '1090', '7777', '8888', '8899', '9', '4433', '22222', '1102', '40317', '502', '8787', '5222', '119', '37718', '1103', '3217', '10000', '995', '50090', '7902', '6070', '79', '9999', '70', '8333', '1755', '8080', '10001', '7021', '8009', '8009', '8089', '7510', '3128', '7510', '9002', '9002', '3128', '9443', '15200', '2809', '8088', '3628', '8883', '9091', '8880', '81', '10000', '81', '10616', '5433', '9100', '12174', '2379', '384', '5038', '3460', '1533', '6001', '6503', '7100', '7770', '26000', '15671', '636', '9524', '17784', '2604', '34963', '9092', '25025', '7000', '10202', '8400', '9530', '7181', '10098', '85', '8014', '8086', '7001', '84', '7001', '84', '5247', '28784', '8081', '7373', '16993', '38008', '623', '23943', '20000', '5498', '6504', '5168', '10080', '9471', '4444', '5000', '9084', '1090', '5000', '9084', '7021', '7777', '1090', '7777', '9440', '69', '10443', '62078', '20111', '27000', '17778', '26122', '6988', '27019', '6112', '21', '443', '2049', '5671', '1102', '8088', '8180', '8888', '995', '8883', '8180', '8888', '554', '6060', '123', '6082', '912', '80', '3000', '4443', '20000', '7000', '9443', '8014', '8086', '8899', '8000', '10001', '8080', '8899', '8000', '8089', '10001', '8080', '1211', '5061', '2100', '49', '2362', '5672', '548', '1494', '25565', '13364', '25000', '61616', '55580', '8089', '7210', '10080', '8008', '9527', '523', '9091', '4444', '9091', '85', '83', '8545', '8880', '85', '6001', '8880', '9999', '8081', '6001', '9001', '3037', '105', '17782', '8686', '3200', '7021', '6060', '7021', '5632', '524', '5400', '38292', '9111', '1583', '9000', '80', '3000', '2207', '587', '113', '5521', '771', '443', '3312', '8903', '6405', '1024', '7700', '9099', '8020', '8088', '8008', '8883', '8088', '8883', '83', '888', '46824', '37891', '31001', '7800', '7080', '921', '8443', '995', '1102', '9001', '8686', '4443', '1102', '7000', '9000', '7000', '4000', '6905', '515', '6080', '55553', '6502', '1581', '7547', '34205', '3351', '8012', '8014', '8086', '9443', '8086', '8014', '8020', '10080', '5250', '6262', '8983', '3690', '82', '31099', '62514', '137', '9080', '10628', '45230', '9152', '8023', '500', '15672', '4848', '20010', '23472', '12345', '18264', '13', '20101', '7443', '10080', '995', '4444', '7800', '7080', '4444', '6060', '587', '995', '6060', '8081', '8081', '8095', '42', '41523', '17781', '1099', '10203', '9418', '8488', '5093', '139', '8087', '783', '5355', '9443', '8012', '9443', '11333', '3780', '993', '512', '8222', '5900', '5814', '8303', '27080', '8127', '3817', '1582', '8090', '910', '1129', '1000', '8443', '80', '80', '82', '9080', '3000', '443', '3000', '8087', '2598', '5601', '8098', '2222', '18881', '1241', '1521', '34962', '2533', '5984', '12221', '1234', '5683', '8095', '8090', '443', '7443', '1000', '5601', '8098', '443', '32913', '3790', '2375', '22', '5353', '3269', '32764', '6050', '1270', '38102', '1091', '7144', '17776', '3057', '2082', '2376', '5040', '9380', '12203', '8008', '8503', '5580', '1468', '44334', '6660', '1098', '27017', '2638', '8800', '9390', '9090', '10162', '1128', '12401', '9081', '38080', '443', '8008', '83', '83', '9001', '179', '5555', '2380', '5392', '6556', '11000', '20171', '1199', '5938', '9001', '8686', '8800', '8686', '5555', '9081', '4443', '4443', '9090', '17200', '5988', '8300', '20293', '3268', '1723', '41025', '10051', '3299', '3389', '41524', '5432', '37892', '9042', '689', '1883', '23791', '8901', '1089', '9000', '11000', '9000', '1440', '705', '2381', '46823', '8902', '2601', '5800', '44818', '23', '37890', '16102', '102', '407', '6667', '9495', '25672', '5989', '20034', '402', '902', '57772', '65535', '48899', '2000', '49152', '13838', '9200', '20031', '5560', '513', '9600', '5920', '1158', '8834', '19', '17775', '8020', '8020', '1883', '7800', '7800', '7080', '7080', '1100', '52302', '19810', '9391', '37', '9200', '17185', '998', '3273', '17783', '587', '587', '8012', '8012', '3300', '82', '8443', '9080', '9080', '82', '111', '9060', '8443', '8087', '8443', '8087', '8095', '8095', '4092', '8090', '8090', '1000', '1000', '7443', '7443', '5601', '5601', '8098', '8098', '8800', '8800', '5555', '5555', '9081', '9081', '9090', '11000', '9090', '11000', '1883', '1883', '']"
119.3.116.192,708,"['0', '0', '53', '53', '53', '53', '0', '3306', '5222', '5405', '1220', '17791', '16992', '1352', '8009', '6002', '9002', '264', '17798', '5520', '25', '3128', '135', '110', '37777', '4322', '5022', '8205', '8161', '19888', '2121', '3050', '1030', '1035', '6661', '23', '7510', '389', '37890', '2083', '8028', '6514', '143', '6542', '30000', '8099', '6000', '12397', '9809', '1300', '4659', '7580', '5631', '1530', '903', '1311', '7077', '6106', '17777', '5666', '4567', '81', '7071', '1080', '84', '8000', '11234', '16102', '102', '19300', '7001', '617', '9084', '5000', '7879', '10050', '4369', '38010', '8180', '5060', '34964', '7787', '9300', '47002', '5985', '1101', '3311', '4343', '2199', '7474', '17790', '8812', '109', '2323', '5275', '222', '28017', '50013', '990', '3500', '5351', '7579', '4445', '8030', '1811', '1604', '6379', '1090', '88', '161', '50000', '28222', '8080', '2181', '4730', '40007', '50070', '10001', '7777', '4840', '540', '8089', '6101', '5554', '8899', '47001', '20222', '27888', '444', '5051', '6667', '41080', '465', '407', '9160', '2525', '873', '2103', '1', '11099', '9855', '1900', '7801', '3632', '8471', '9495', '14330', '9091', '631', '5037', '7', '2967', '8880', '7676', '10008', '20034', '9595', '13500', '5986', '43', '5347', '6001', '85', '34443', '88', '88', '88', '5222', '8009', '9002', '3128', '7510', '84', '81', '5000', '9084', '7001', '1090', '10001', '8180', '7777', '5560', '19', '8834', '5920', '1158', '513', '7021', '1100', '8787', '502', '40317', '22222', '4433', '1102', '8899', '19810', '9391', '79', '7902', '6070', '3217', '119', '995', '37718', '50090', '1103', '8333', '9999', '1755', '10000', '70', '8000', '8080', '8089', '9091', '9443', '3628', '8883', '15200', '2809', '8009', '9002', '9002', '10616', '9100', '2379', '12174', '384', '5038', '17185', '998', '8014', '1533', '9530', '26000', '6503', '3460', '7100', '7770', '3273', '15671', '9524', '34963', '636', '8400', '8086', '7181', '9092', '10202', '17784', '7000', '8009', '6001', '85', '10000', '8880', '7021', '10098', '5247', '7373', '8081', '23943', '5498', '38008', '16993', '17783', '6504', '623', '20000', '4444', '10080', '9471', '5168', '69', '10443', '62078', '9440', '20111', '17778', '6988', '27000', '26122', '27019', '2049', '6112', '443', '5671', '21', '7510', '84', '81', '5000', '9084', '7510', '84', '8883', '81', '5000', '9084', '123', '6060', '6082', '912', '80', '554', '4443', '1102', '20000', '995', '8014', '8086', '7000', '1090', '7777', '7001', '10001', '8180', '8899', '3128', '7777', '1090', '7001', '8180', '8000', '8899', '5222', '8080', '8089', '9443', '3128', '8000', '1211', '3000', '1494', '5672', '5061', '13364', '2100', '548', '25565', '61616', '2362', '49', '5222', '55580', '7210', '25000', '10001', '8080', '8089', '8008', '9091', '523', '9527', '4444', '9091', '10080', '83', '8545', '9001', '6001', '85', '85', '6001', '17782', '105', '8686', '3037', '3200', '7021', '7021', '6060', '8880', '5400', '5632', '38292', '524', '9111', '1583', '80', '9000', '113', '8880', '8081', '771', '2207', '5521', '587', '443', '3312', '3300', '8903', '7700', '1024', '6405', '3000', '9099', '8020', '8008', '8883', '8883', '888', '37891', '7800', '31001', '921', '46824', '7080', '83', '9001', '4443', '8686', '9999', '1102', '8443', '4000', '1581', '34205', '55553', '3351', '6905', '6502', '7547', '515', '6080', '8012', '9000', '1102', '8086', '8014', '7000', '8086', '8014', '7000', '995', '8020', '5250', '6262', '8983', '137', '82', '62514', '3690', '10628', '9080', '45230', '31099', '9152', '8023', '4848', '15672', '23472', '500', '12345', '20010', '111', '13', '7443', '20101', '18264', '9443', '4444', '7800', '10080', '4444', '10080', '587', '6060', '7080', '6060', '8095', '41523', '42', '17781', '1099', '5093', '8488', '10203', '9418', '139', '783', '8087', '5355', '80', '80', '995', '443', '11333', '993', '8222', '3780', '512', '5900', '8303', '27080', '5814', '8127', '8090', '910', '1129', '3817', '1582', '8012', '995', '82', '9443', '8443', '9080', '9443', '1000', '2598', '5601', '8098', '1241', '2222', '1521', '34962', '18881', '2533', '9060', '1234', '12221', '5984', '8087', '8081', '8081', '8095', '7443', '8090', '3000', '3000', '443', '1000', '3790', '5683', '32913', '2375', '22', '32764', '6050', '38102', '5353', '1270', '3269', '5040', '17776', '7144', '1091', '3057', '12203', '2082', '9380', '5580', '2376', '1468', '44334', '8503', '6660', '8800', '2638', '27017', '1098', '9390', '9090', '10162', '1128', '12401', '5601', '443', '8008', '443', '8008', '8098', '9001', '83', '9001', '83', '5555', '38080', '2380', '179', '6556', '5392', '11000', '5938', '1199', '8800', '8686', '8686', '4443', '5555', '4443', '20171', '20293', '17200', '8300', '1723', '5988', '41025', '3268', '3299', '10051', '5432', '37892', '3389', '8901', '9042', '41524', '23791', '1440', '1089', '1883', '689', '9090', '4092', '2381', '705', '8902', '46823', '2601', '5800', '44818', '11000', '9000', '9000', '8020', '53', '4679', '8020', '2947', '8888', '1433', '7778', '25672', '902', '5989', '57772', '65535', '402', '48899', '2000', '49152', '13838', '17775', '9600', '9200', '20031', '9', '7800', '1883', '7800', '52302', '37', '8088', '5433', '9200', '25025', '8888', '7080', '8088', '587', '8012', '7080', '587', '8012', '82', '82', '9080', '9080', '8443', '8087', '8087', '9081', '8095', '8095', '8443', '8090', '8443', '8090', '9081', '7443', '7443', '1000', '1000', '5601', '8098', '5601', '8098', '8800', '5555', '8800', '5555', '11000', '9090', '11000', '9090', '1883', '2604', '1883', '8888', '28784', '8888', '8088', '8088', '9081', '9081', '']"
123.60.127.76,708,"['0', '0', '53', '53', '53', '53', '0', '5222', '1220', '53', '5405', '1352', '3128', '3306', '17791', '9002', '16992', '25', '264', '135', '5520', '6002', '8009', '17798', '8205', '110', '4322', '37777', '4679', '5022', '1035', '8161', '389', '19888', '1030', '6661', '3050', '7510', '2121', '23', '1300', '143', '7580', '6542', '2083', '6000', '37890', '8028', '5631', '8099', '12397', '4659', '9809', '1311', '2947', '1530', '903', '7077', '17777', '6106', '8000', '4567', '7071', '81', '5666', '1080', '84', '11234', '9084', '5000', '16102', '10050', '8180', '47002', '19300', '1101', '7879', '7001', '5060', '34964', '3311', '7787', '102', '5985', '38010', '4369', '9300', '4343', '2199', '222', '2323', '109', '7474', '8812', '50013', '990', '17790', '5351', '1811', '1604', '28017', '5275', '161', '4445', '7579', '3500', '1090', '8030', '6379', '88', '50000', '2181', '8080', '7777', '40007', '4840', '28222', '4730', '10001', '50070', '8899', '27888', '8089', '8888', '465', '47001', '6667', '5554', '1433', '407', '41080', '5051', '444', '2525', '873', '2103', '1', '3632', '11099', '7801', '9855', '1900', '9495', '7', '631', '14330', '7778', '8471', '7676', '9091', '8880', '2967', '10008', '5986', '5347', '20034', '13500', '34443', '43', '6001', '85', '88', '88', '88', '5222', '9002', '8009', '3128', '7510', '8000', '84', '81', '9002', '8009', '9084', '8180', '7001', '5000', '1090', '8080', '7777', '8888', '8009', '8089', '9002', '25672', '1102', '9', '502', '19810', '4433', '9391', '79', '9091', '7902', '1103', '37718', '6070', '1755', '50090', '3217', '10000', '70', '9999', '8333', '995', '5222', '10001', '8899', '5222', '7510', '3128', '7510', '3128', '6001', '37', '2809', '8088', '9443', '8883', '3628', '84', '84', '9100', '10616', '12174', '5433', '26000', '9524', '384', '5038', '8014', '3460', '1533', '6503', '7100', '998', '9530', '7770', '3273', '15671', '25025', '2604', '7000', '17784', '34963', '636', '7181', '9092', '10202', '8400', '8086', '85', '9084', '10000', '9084', '8000', '5000', '8000', '5000', '1090', '8880', '1090', '81', '81', '10098', '5247', '28784', '5498', '16993', '7373', '23943', '38008', '20000', '8081', '623', '6504', '4444', '9471', '8080', '8080', '8883', '8088', '1102', '7777', '10080', '9440', '69', '10443', '7777', '62078', '20111', '17778', '27000', '6988', '26122', '27019', '2049', '6112', '21', '443', '123', '5671', '8180', '8180', '8888', '20000', '8888', '8014', '7000', '554', '6060', '6082', '912', '80', '3000', '4443', '8089', '8089', '8086', '995', '9443', '9091', '9091', '10001', '8899', '7001', '10001', '8899', '7001', '1211', '5061', '2100', '548', '1494', '25565', '49', '13364', '5672', '2362', '61616', '25000', '7210', '55580', '4444', '6001', '523', '6001', '8008', '9527', '8545', '83', '9001', '10080', '85', '85', '9999', '17782', '105', '3037', '8686', '8883', '8088', '8081', '6060', '8883', '8088', '8880', '524', '5632', '38292', '5400', '9111', '3200', '1583', '8880', '9000', '1102', '3000', '80', '1102', '113', '771', '5521', '587', '2207', '443', '8903', '3312', '6405', '7700', '1024', '3300', '9099', '8020', '8008', '83', '9001', '888', '31001', '46824', '37891', '921', '7800', '7080', '8014', '8014', '8686', '7000', '7000', '4443', '8086', '8086', '9000', '8443', '4000', '6905', '1581', '34205', '55553', '6502', '3351', '8012', '7547', '515', '6080', '995', '9443', '8020', '4444', '4444', '7800', '5250', '3690', '6262', '62514', '10628', '137', '82', '8983', '9080', '8023', '45230', '31099', '500', '9152', '15672', '23472', '20010', '7080', '4848', '13', '111', '12345', '7443', '20101', '18264', '10080', '587', '10080', '6060', '6060', '41523', '8095', '42', '17781', '1099', '5093', '139', '8488', '10203', '9418', '783', '5355', '8087', '995', '8081', '9443', '8012', '8081', '995', '9443', '993', '5900', '8222', '3780', '512', '11333', '8303', '27080', '5814', '8127', '1582', '8090', '3817', '1129', '910', '1000', '3000', '80', '3000', '80', '82', '8443', '9080', '443', '8087', '2598', '8098', '5601', '1241', '2222', '1521', '18881', '2533', '34962', '9060', '12221', '5984', '1234', '8095', '443', '8090', '7443', '1000', '8098', '5601', '443', '443', '5683', '3790', '32913', '2375', '22', '32764', '3269', '5353', '1270', '1091', '38102', '5040', '6050', '17776', '7144', '3057', '12203', '2376', '2082', '9380', '1468', '5580', '44334', '8503', '8800', '6660', '1098', '27017', '2638', '10162', '9090', '9390', '38080', '9081', '12401', '1128', '9001', '83', '8008', '9001', '83', '8008', '8800', '2380', '5555', '179', '5392', '6556', '11000', '5938', '1199', '20171', '8686', '8686', '5555', '9081', '9090', '4443', '4443', '17200', '5988', '20293', '1723', '41025', '3268', '8300', '3389', '3299', '5432', '41524', '23791', '689', '10051', '8901', '37892', '1883', '9042', '1089', '11000', '9000', '9000', '1440', '705', '2381', '4092', '46823', '8902', '5800', '2601', '44818', '30000', '6514', '617', '540', '20222', '6101', '9160', '5037', '902', '57772', '5989', '402', '65535', '48899', '20031', '9200', '2000', '49152', '13838', '17775', '9600', '5560', '8834', '1158', '19', '513', '5920', '7021', '40317', '22222', '8020', '8020', '7800', '7080', '7800', '7080', '1883', '9200', '1100', '8787', '52302', '119', '15200', '2379', '17185', '587', '587', '17783', '5168', '7021', '8012', '8012', '82', '82', '8443', '9080', '9080', '8087', '8087', '8443', '8095', '8095', '8443', '8090', '7443', '8090', '7443', '1000', '1000', '8098', '5601', '8098', '5601', '8800', '8800', '5555', '9081', '5555', '9081', '9595', '11000', '9090', '11000', '9090', '1883', '1883', '7021', '7021', '']"
124.71.94.150,17,"['0', '0', '53', '53', '53', '53', '0', '443', '80', '80', '443', '80', '80', '443', '443', '443', '']"
62.119.167.47,1,['0']
159.138.218.80,13,"['0', '0', '0', '443', '80', '80', '443', '80', '80', '443', '443', '443', '']"
14.137.139.38,17,"['0', '0', '0', '0', '443', '80', '80', '443', '80', '80', '443', '443', '443', '443', '443', '443', '']"
121.37.49.93,17,"['0', '0', '53', '53', '53', '53', '0', '443', '80', '443', '80', '443', '443', '443', '80', '80', '']"
